站号,站点名称,时间,温度,气压,湿度,风向,风速,降水量,能见度
58015,砀山,20240811155200,19.10,1003.00,35.80,330.40,6.40,4.40,35.20
58102,亳州,20240811155200,22.70,1041.80,62.10,180.50,2.60,3.40,2.20
58118,蒙城,20240811155200,26.60,1006.30,46.50,117.00,1.10,14.60,15.20
58122,宿州,20240811155200,14.90,967.70,85.10,39.70,3.20,6.30,29.40
58203,阜阳,20240811155200,16.70,985.70,80.50,285.80,3.90,3.50,16.20
58215,寿县,20240811155200,10.30,977.10,76.60,218.30,9.00,6.80,38.80
58221,蚌埠,20240811155200,26.60,975.40,51.10,153.40,1.70,2.80,30.50
58225,定远,20240811155200,12.80,1035.40,90.90,138.00,8.30,11.20,12.90
58236,滁州,20240811155200,16.50,983.60,57.50,278.30,9.30,2.00,39.30
58311,六安,20240811155200,33.40,954.80,30.80,138.70,7.10,9.40,37.00
58314,霍山,20240811155200,1.30,1001.40,45.90,158.10,6.90,0.20,31.60
58319,桐城,20240811155200,3.80,1045.00,57.30,66.70,5.60,2.20,4.70
58321,合肥,20240811155200,29.00,1019.40,37.60,105.50,3.00,7.10,23.80
58326,巢湖,20240811155200,27.50,1038.30,68.40,95.90,8.30,5.20,34.70
58336,马鞍山,20240811155200,30.50,1031.80,66.90,212.00,3.30,2.00,10.20
58338,芜湖县,20240811155200,10.40,1040.20,67.00,299.20,0.40,6.30,5.90
58414,太湖,20240811155200,31.10,982.50,45.80,90.10,7.10,10.60,35.60
58419,东至,20240811155200,5.20,958.90,54.70,2.90,2.50,12.30,18.90
58424,安庆,20240811155200,10.80,987.50,73.60,151.50,9.30,11.70,3.60
58429,铜陵,20240811155200,32.80,1003.80,29.00,13.20,4.00,14.00,27.70
58436,宁国,20240811155200,9.70,990.30,68.80,35.80,2.80,5.90,5.90
58437,黄山,20240811155200,10.10,1038.50,66.70,265.30,7.50,14.60,28.30
58520,祁门,20240811155200,10.00,1024.90,22.40,106.00,2.40,11.20,17.60
58531,屯溪,20240811155200,27.00,976.90,96.40,254.80,0.70,9.40,23.30
54406,延庆,20240811155200,0.00,1041.40,66.20,339.70,1.70,11.00,10.70
54416,密云,20240811155200,14.70,974.90,66.60,284.80,3.50,5.30,25.40
54511,北京,20240811155200,11.20,1030.00,28.90,31.40,4.90,11.30,12.60
58725,邵武,20240811155200,7.60,1012.50,55.40,169.60,4.60,9.80,19.60
58730,武夷山,20240811155200,0.40,997.20,88.10,160.60,3.80,12.30,15.50
58731,浦城,20240811155200,0.70,1029.40,86.20,315.60,9.50,6.00,0.50
58734,建阳,20240811155200,13.20,981.30,91.10,309.60,6.50,1.20,16.20
58737,建瓯,20240811155200,1.70,966.50,48.90,54.50,4.20,14.30,19.30
58744,寿宁,20240811155200,18.80,986.20,38.90,79.40,8.60,0.30,35.20
58754,福鼎,20240811155200,2.70,1026.60,40.70,148.40,1.20,8.10,24.10
58818,宁化,20240811155200,25.80,1040.10,89.80,299.00,6.70,12.10,8.70
58820,泰宁,20240811155200,28.20,1031.30,64.90,15.10,3.00,9.00,29.60
58834,南平,20240811155200,12.40,993.40,38.90,176.40,4.80,11.10,15.90
58837,尤溪,20240811155200,23.60,1045.40,66.30,316.30,7.20,1.10,20.00
58843,霞浦,20240811155200,13.50,1019.20,49.30,189.30,4.60,14.30,3.50
58846,宁德,20240811155200,26.30,1020.40,37.40,329.70,6.90,11.60,24.90
58847,福州,20240811155200,10.10,1026.60,69.70,217.50,5.20,10.70,33.90
58911,长汀,20240811155200,15.00,967.00,35.00,33.90,2.40,11.40,25.40
58918,上杭,20240811155200,29.60,1033.70,30.60,253.30,8.10,7.90,37.80
58921,永安,20240811155200,7.70,1019.40,51.40,174.00,9.80,12.00,23.80
58926,漳平,20240811155200,26.90,1041.60,53.90,237.00,3.50,13.60,9.70
58927,龙岩,20240811155200,13.70,1037.50,58.90,164.00,9.70,11.90,37.90
58931,九仙山,20240811155200,22.10,1020.50,28.50,287.00,4.20,11.20,20.30
58933,屏南,20240811155200,27.60,964.30,13.40,200.30,3.80,14.80,9.60
58936,仙游,20240811155200,33.80,1008.80,88.60,36.00,5.70,8.50,33.00
58944,平潭,20240811155200,14.20,971.30,28.00,23.10,4.10,4.90,27.10
59113,永定,20240811155200,18.80,986.00,40.20,231.20,1.80,14.80,33.40
59126,漳州,20240811155200,31.00,1003.20,88.90,288.80,7.50,14.30,4.40
59133,崇武,20240811155200,6.30,987.10,74.00,285.40,1.20,13.80,1.40
59134,厦门,20240811155200,22.10,955.50,69.60,196.50,6.80,3.60,19.60
59321,东山,20240811155200,30.90,1009.70,56.80,30.00,1.00,11.00,21.20
52323,马鬃山,20240811155200,32.80,1011.00,74.60,4.00,4.20,7.50,12.90
52418,敦煌,20240811155200,1.80,955.90,77.30,108.30,8.20,10.50,28.90
52424,瓜州,20240811155200,14.60,994.30,10.30,256.70,9.80,4.00,13.20
52436,玉门镇,20240811155200,21.80,952.80,52.90,38.00,7.80,10.90,28.00
52446,鼎新,20240811155200,13.80,951.90,74.40,41.60,8.20,3.00,5.60
52447,金塔,20240811155200,27.40,1047.70,78.50,329.40,8.80,15.00,33.00
52533,酒泉,20240811155200,12.10,1007.50,41.90,316.90,1.80,12.30,8.90
52546,高台,20240811155200,11.80,977.50,52.10,38.70,5.50,2.20,36.70
52652,张掖,20240811155200,23.30,1030.30,69.90,67.30,7.50,0.30,28.90
52661,山丹,20240811155200,20.70,993.30,79.80,128.10,6.20,11.50,17.60
52674,永昌,20240811155200,10.10,1044.60,10.60,27.40,2.10,11.70,24.30
52679,武威,20240811155200,29.20,990.00,33.20,11.20,2.70,10.60,9.90
52681,民勤,20240811155200,13.50,986.00,51.80,162.00,6.40,5.70,29.40
52787,乌鞘岭,20240811155200,13.90,1036.00,83.50,49.60,4.50,3.30,12.90
52797,景泰,20240811155200,20.80,1036.90,25.70,355.90,6.70,15.50,23.30
52884,皋兰,20240811155200,34.00,989.30,22.80,293.20,4.50,12.10,19.70
52895,靖远,20240811155200,17.30,1031.90,99.60,280.80,7.90,15.50,38.00
52983,榆中,20240811155200,19.30,983.20,57.40,103.40,4.50,9.00,33.00
52984,临夏,20240811155200,34.00,1029.50,76.00,259.80,1.60,2.90,10.90
52986,临洮,20240811155200,23.30,988.50,29.40,122.40,7.80,0.30,10.80
52996,华家岭,20240811155200,32.30,1033.60,20.50,249.60,5.50,15.40,5.60
53821,环县,20240811155200,3.40,972.10,93.70,113.00,5.30,2.30,16.40
