省份,站号,站名,纬度,经度,海拔
安徽,58015,砀山,34.27,116.20,44.20
安徽,58102,亳州,33.47,115.44,39.10
安徽,58118,蒙城,33.16,116.31,10.30
安徽,58122,宿州,33.38,116.59,25.90
安徽,58203,阜阳,32.52,115.44,32.70
安徽,58215,寿县,32.26,116.47,25.70
安徽,58221,蚌埠,32.51,117.18,26.80
安徽,58225,定远,32.32,117.40,69.60
安徽,58236,滁州,32.21,118.15,33.50
安徽,58311,六安,31.44,116.30,74.10
安徽,58314,霍山,31.24,116.19,86.40
安徽,58319,桐城,31.04,116.57,85.40
安徽,58321,合肥,31.47,117.18,27.00
安徽,58326,巢湖,31.35,117.50,30.90
安徽,58336,马鞍山,31.42,118.34,80.00
安徽,58338,芜湖县,31.07,118.36,40.00
安徽,58414,太湖,30.26,116.19,105.10
安徽,58419,东至,30.06,117.01,17.60
安徽,58424,安庆,30.37,116.58,62.00
安徽,58429,铜陵,30.59,117.51,11.00
安徽,58436,宁国,30.37,118.59,87.30
安徽,58437,黄山,30.08,118.09,1840.40
安徽,58520,祁门,29.51,117.43,142.00
安徽,58531,屯溪,29.43,118.17,142.70
北京,54406,延庆,40.27,115.58,487.90
北京,54416,密云,40.23,116.52,71.80
北京,54511,北京,39.48,116.28,31.30
福建,58725,邵武,27.20,117.28,218.00
福建,58730,武夷山,27.46,118.02,222.10
福建,58731,浦城,27.55,118.32,276.90
福建,58734,建阳,27.20,118.07,196.90
福建,58737,建瓯,27.03,118.19,154.90
福建,58744,寿宁,27.27,119.25,815.90
福建,58754,福鼎,27.20,120.12,36.20
福建,58818,宁化,26.14,116.38,358.90
福建,58820,泰宁,26.54,117.10,342.90
福建,58834,南平,26.38,118.10,152.20
福建,58837,尤溪,26.09,118.09,204.80
福建,58843,霞浦,26.53,120.01,56.80
福建,58846,宁德,26.40,119.31,32.40
福建,58847,福州,26.05,119.17,84.00
福建,58911,长汀,25.51,116.22,310.00
福建,58918,上杭,25.03,116.25,198.00
福建,58921,永安,25.58,117.21,206.00
福建,58926,漳平,25.18,117.25,205.30
福建,58927,龙岩,25.03,117.01,376.00
福建,58931,九仙山,25.43,118.06,1653.50
福建,58933,屏南,26.55,118.59,869.50
福建,58936,仙游,25.22,118.42,77.70
福建,58944,平潭,25.31,119.47,32.40
福建,59113,永定,24.44,116.43,226.90
福建,59126,漳州,24.30,117.39,28.90
福建,59133,崇武,24.54,118.55,21.80
福建,59134,厦门,24.29,118.04,139.40
福建,59321,东山,23.47,117.30,53.30
甘肃,52323,马鬃山,41.48,97.02,1770.40
甘肃,52418,敦煌,40.09,94.41,1139.00
甘肃,52424,瓜州,40.32,95.47,1170.90
甘肃,52436,玉门镇,40.16,97.02,1526.00
甘肃,52446,鼎新,40.18,99.31,1177.40
甘肃,52447,金塔,40.00,98.53,1270.50
甘肃,52533,酒泉,39.46,98.29,1477.20
甘肃,52546,高台,39.22,99.50,1332.20
甘肃,52652,张掖,39.05,100.17,1461.10
甘肃,52661,山丹,38.48,101.05,1765.50
甘肃,52674,永昌,38.13,101.56,2093.90
甘肃,52679,武威,37.55,102.40,1531.50
甘肃,52681,民勤,38.38,103.05,1367.50
甘肃,52787,乌鞘岭,37.12,102.52,3045.10
甘肃,52797,景泰,37.11,104.03,1630.90
甘肃,52884,皋兰,36.21,103.57,1668.50
甘肃,52895,靖远,36.34,104.41,1398.20
甘肃,52983,榆中,35.52,104.09,1874.40
甘肃,52984,临夏,35.35,103.11,1917.20
甘肃,52986,临洮,35.22,103.52,1893.80
甘肃,52996,华家岭,35.23,105.01,2450.60
甘肃,53821,环县,36.34,107.18,1255.60
甘肃,53915,崆峒,35.33,106.40,1346.60
甘肃,53923,西峰,35.44,107.38,1421.00
甘肃,56074,玛曲,34.00,102.05,3471.40
甘肃,56080,合作,35.00,102.54,2910.00
甘肃,56093,岷县,34.26,104.01,2315.00
甘肃,56096,武都,33.24,104.55,1079.10
甘肃,57014,麦积,34.34,105.52,1085.20
广东,57996,南雄,25.05,114.15,149.70
广东,59072,连州,24.49,112.22,131.70
广东,59082,韶关,24.40,113.36,121.30
广东,59087,佛冈,23.53,113.31,97.20
广东,59088,英德,24.11,113.25,74.40
广东,59096,连平,24.22,114.29,215.20
广东,59097,新丰,24.03,114.12,199.30
广东,59107,龙川,24.07,115.17,179.60
广东,59116,大埔,24.21,116.42,80.10
广东,59117,梅县,24.17,116.04,116.00
广东,59271,广宁,23.38,112.25,92.70
广东,59278,高要,22.59,112.29,60.00
广东,59280,清远,23.43,113.05,79.20
广东,59287,广州,23.13,113.29,70.70
广东,59289,东莞,22.58,113.44,56.00
广东,59293,河源,23.48,114.44,71.10
广东,59294,增城,23.20,113.50,30.80
广东,59298,惠阳,23.04,114.22,108.50
广东,59303,五华,23.55,115.45,135.90
广东,59304,紫金,23.38,115.11,176.60
广东,59306,揭西,23.27,115.51,80.90
广东,59310,丰顺,23.46,116.10,45.30
广东,59316,汕头,23.23,116.41,2.30
广东,59317,惠来,22.59,116.18,42.00
广东,59324,南澳,23.26,117.02,8.00
广东,59456,信宜,22.21,110.56,141.40
广东,59462,罗定,22.43,111.36,60.00
广东,59478,台山,22.15,112.47,33.10
广东,59485,中山,22.31,113.24,33.70
广东,59488,珠海,22.17,113.34,51.40
广东,59493,深圳,22.33,114.00,63.00
广东,59501,汕尾,22.48,115.22,17.30
广东,59658,湛江,21.09,110.18,53.40
广东,59663,阳江,21.51,111.59,90.30
广东,59664,电白,21.33,110.59,31.80
广东,59673,上川岛,21.44,112.46,21.90
广东,59754,徐闻,20.20,110.11,56.20
广西,57947,融安,25.13,109.24,121.30
广西,57957,桂林,25.19,110.18,164.40
广西,57958,雁山,25.05,110.19,151.30
广西,59021,凤山,24.33,107.02,509.40
广西,59023,河池,24.42,108.02,260.20
广西,59027,巴马,24.08,107.15,254.90
广西,59037,都安,23.56,108.06,170.80
广西,59046,柳州,24.21,109.24,96.80
广西,59058,蒙山,24.12,110.31,181.90
广西,59065,八步,24.25,111.30,148.70
广西,59209,那坡,23.25,105.50,794.10
广西,59211,百色,23.54,106.36,174.70
广西,59218,靖西,23.08,106.25,739.90
广西,59228,平果,23.19,107.35,108.80
广西,59242,来宾,23.46,109.09,96.70
广西,59254,桂平,23.24,110.05,42.50
广西,59265,梧州,23.29,111.18,114.80
广西,59417,龙州,22.20,106.51,130.00
广西,59431,南宁,22.38,108.13,121.60
广西,59446,灵山,22.25,109.18,66.60
广西,59453,玉林,22.40,110.07,121.60
广西,59626,东兴,21.34,107.57,56.80
